Air_Quality(PPM),Humidit,Temperature(C)
173.8,61.1,23.3
154.02,63.3,24.8
85.8,46.5,23.4
348.07,58.3,24.5
29.16,63.9,27.5
233.95,62.1,24.8
154.02,54.8,23.6
146.59,58.6,24.7
157.84,59.7,24.7
30.34,69.8,27.2
52.22,46.2,23.1
214.02,62.0,24.8
71.82,46.8,23.5
107.33,62.4,20.5
260.75,60.5,25.2
96.13,47.0,23.5
341.19,59.8,23.3
26.9,63.2,27.5
25.82,67.9,27.3
76.28,45.3,23.4
30.34,64.2,27.5
29.16,68.5,27.5
107.33,61.9,20.4
228.84,64.2,24.8
93.47,47.5,23.4
161.72,62.4,23.3
20.85,62.3,27.5
26.9,70.3,27.0
78.59,44.2,23.3
26.9,70.0,26.8
218.88,61.2,25.2
150.27,63.3,24.9
23.74,62.6,27.4
28.02,69.2,27.3
228.84,63.1,24.9
150.27,51.3,23.8
65.47,44.3,23.4
30.34,64.4,27.5
30.34,65.9,27.5
116.33,57.0,24.7
28.02,68.6,27.4
101.62,58.0,21.9
157.84,50.7,23.8
110.27,57.6,22.0
23.74,62.4,27.5
30.34,64.0,27.5
96.13,55.9,22.9
71.82,46.7,23.5
61.47,44.3,23.4
78.59,44.9,23.4
18.21,62.4,27.5
239.14,63.6,24.9
29.16,64.1,27.6
165.68,50.0,23.8
129.15,57.6,24.8
104.45,56.0,22.8
165.68,50.2,23.8
93.47,56.7,22.6
63.45,46.9,23.2
26.9,67.4,27.3
55.8,59.4,21.3
34.07,68.4,27.7
24.77,63.0,27.5
302.05,60.9,25.2
38.11,68.1,27.3
19.06,62.5,27.5
209.25,64.1,24.8
157.84,50.6,23.8
266.37,59.3,23.0
26.9,69.3,27.1
142.97,57.9,23.6
119.44,52.3,23.8
47.17,68.5,27.7
93.47,56.4,22.7
195.38,46.6,23.2
30.34,66.0,27.5
150.27,58.9,24.7
30.34,65.5,27.5
195.38,60.6,23.8
384.05,58.6,24.6
52.22,57.0,21.9
26.9,63.4,27.4
341.19,58.4,24.6
249.77,60.7,25.2
26.9,69.9,26.9
65.47,46.6,23.4
218.88,60.4,25.2
157.84,60.9,24.8
93.47,47.3,23.4
376.64,54.6,24.7
26.9,67.0,27.4
146.59,50.9,23.8
67.54,60.4,20.9
30.34,66.0,27.5
69.66,45.6,23.8
272.09,59.6,22.9
341.19,58.5,24.5
129.15,60.7,23.8
83.34,44.4,23.3
110.27,62.4,20.5
24.77,62.4,27.5
