Air_Quality(PPM),Humidit,Temperature(C)
142.97,59.1,24.7
119.44,56.8,24.6
228.84,64.2,24.8
67.54,48.1,23.0
132.51,51.8,23.7
52.22,68.4,27.6
154.02,62.4,25.1
142.97,59.2,24.7
24.77,63.0,27.5
78.59,45.0,23.4
29.16,63.9,27.5
19.94,62.3,27.5
150.27,52.9,23.7
113.27,55.3,22.9
50.5,57.9,21.5
260.75,61.1,25.2
399.21,60.3,23.3
29.16,66.2,27.5
31.55,54.9,22.5
104.45,56.0,22.8
266.37,59.3,23.0
30.34,65.6,27.5
83.34,50.1,23.2
139.42,58.0,23.6
139.42,59.4,24.7
19.06,62.6,27.5
199.93,64.6,24.9
195.38,50.6,23.8
30.34,55.2,22.5
362.14,60.7,23.2
348.07,60.9,23.3
28.02,66.4,27.5
65.47,46.7,23.3
154.02,58.4,23.8
78.59,44.2,23.3
52.22,68.6,27.7
36.73,57.2,22.0
314.7,59.6,23.2
28.02,69.1,27.3
96.13,47.3,23.4
19.06,62.5,27.5
29.16,63.7,27.5
26.9,67.4,27.3
142.97,57.5,23.7
28.02,70.1,26.8
135.94,55.3,24.7
223.82,60.8,25.3
142.97,52.0,23.7
150.27,62.0,25.2
204.55,56.7,23.4
35.39,68.3,27.3
169.7,57.1,22.1
161.72,53.9,23.6
53.99,59.1,21.3
150.27,61.0,21.7
334.42,59.9,23.3
157.84,57.4,23.6
190.92,50.7,23.8
384.05,61.4,23.2
28.02,69.1,27.3
26.9,66.7,27.4
90.86,47.4,23.4
26.9,69.8,27.2
348.07,60.8,25.3
119.44,50.6,23.2
29.16,64.0,27.5
399.21,60.6,24.6
348.07,58.5,24.6
139.42,63.0,23.4
165.68,57.5,23.8
26.9,67.3,27.3
101.62,55.8,22.8
22.75,47.4,23.4
65.47,47.5,22.9
110.27,62.4,20.5
23.74,62.3,27.5
277.89,61.1,25.2
204.55,50.7,23.8
30.34,63.9,27.5
209.25,49.4,24.5
53.99,68.4,27.6
157.84,58.5,24.8
57.64,44.9,23.3
139.42,51.1,23.8
104.45,44.4,23.3
302.05,60.8,25.3
154.02,52.3,23.8
348.07,58.3,24.5
16.58,49.4,23.0
76.28,58.2,21.7
29.16,66.1,27.5
26.9,63.3,27.4
26.9,70.4,27.0
239.14,57.5,23.3
132.51,63.1,23.2
21.79,62.3,27.5
71.82,44.2,23.4
272.09,59.4,23.0
195.38,50.6,23.8
177.97,62.8,23.3
165.68,50.2,23.8
139.42,61.6,24.7
195.38,50.6,23.8
161.72,60.1,23.9
362.14,58.6,24.6
150.27,62.7,20.4
50.5,58.4,21.5
26.9,63.1,27.6
135.94,51.5,23.7
76.28,46.4,23.7
29.16,69.6,27.3
26.9,69.6,27.0
107.33,56.1,24.7
209.25,63.2,24.9
334.42,60.1,23.2
59.54,59.5,20.7
29.16,66.2,27.5
26.9,66.8,27.4
63.45,59.8,21.1
107.33,50.4,23.2
391.58,58.2,24.5
30.34,65.9,27.5
26.9,62.9,27.5
173.8,60.3,25.2
204.55,63.5,24.9
65.47,44.6,23.4
26.9,66.7,27.4
30.34,65.6,27.5
22.75,62.3,27.5
146.59,55.6,24.7
129.15,55.6,24.7
67.54,45.3,23.4
78.59,46.9,23.5
98.85,44.6,23.2
28.02,58.2,21.7
57.64,47.8,23.0
327.74,60.6,22.9
223.82,63.8,24.8
135.94,56.6,25.5
173.8,61.7,23.8
25.82,67.7,27.4
129.15,58.2,24.9
132.51,51.1,23.8
173.8,64.3,24.8
24.77,62.6,27.5
26.9,67.4,27.4
26.9,63.0,27.5
169.7,61.9,24.8
119.44,61.3,20.7
59.54,44.9,23.3
161.72,50.5,23.8
29.16,66.2,27.5
399.21,60.8,23.4
190.92,50.6,23.8
26.9,67.0,27.4
302.05,59.7,23.0
165.68,62.6,23.2
150.27,61.2,21.5
32.8,56.8,22.2
107.33,62.2,20.5
65.47,45.2,23.4
25.82,62.6,27.5
22.75,62.5,27.6
67.54,60.4,21.0
142.97,59.1,24.7
26.9,67.4,27.3
28.02,63.1,27.5
277.89,58.2,23.2
20.85,62.3,27.4
31.55,68.3,27.3
277.89,58.6,23.2
150.27,56.0,23.6
65.47,47.7,22.9
214.02,64.0,24.9
289.78,63.9,24.9
348.07,60.1,23.3
376.64,58.6,24.6
28.02,70.1,26.8
119.44,60.5,23.8
24.77,62.7,27.4
165.68,50.2,23.8
22.75,62.3,27.5
90.86,47.3,23.4
362.14,60.7,23.1
29.16,63.5,27.5
